,Date,Open,High,Low,Close,Adj Close,Volume,weekday,shift_close
639,5/31/19,37.02,37.984001,36.82,37.032001,37.032001,52033500,4,37.644001
640,6/3/19,37.102001,37.335999,35.397999,35.793999,35.793999,65322000,0,37.032001
641,6/4/19,36.220001,38.796001,35.922001,38.720001,38.720001,69037500,1,35.793999
642,6/5/19,39.736,40.256001,38.369999,39.318001,39.318001,67554000,2,38.720001
643,6/6/19,40.888,42.200001,40.360001,41.189999,41.189999,101211000,3,39.318001
644,6/7/19,41,42.167999,40.700001,40.900002,40.900002,80017500,4,41.189999
645,6/10/19,42.049999,43.388,41.801998,42.576,42.576,52925000,0,40.900002
646,6/11/19,43.827999,44.18,42.700001,43.419998,43.419998,58267500,1,42.576
647,6/12/19,44.59,44.675999,41.799999,41.852001,41.852001,75987500,2,43.419998
648,6/13/19,42.076,42.98,41.501999,42.782001,42.782001,40841500,3,41.852001
649,6/14/19,42.25,43.330002,42.080002,42.984001,42.984001,37167000,4,42.782001
650,6/17/19,43.096001,45.400002,42.854,45.006001,45.006001,61584000,0,42.984001
651,6/18/19,45.743999,46.948002,44.512001,44.948002,44.948002,63579000,1,45.006001
652,6/19/19,45.021999,45.554001,44.212002,45.285999,45.285999,32875500,2,44.948002
653,6/20/19,44.599998,45.380001,43.27,43.924,43.924,59317500,3,45.285999
654,6/21/19,43.243999,44.436001,43.099998,44.372002,44.372002,41010500,4,43.924
655,6/24/19,44.647999,45.172001,44.203999,44.728001,44.728001,28754000,0,44.372002
656,6/25/19,44.877998,45.068001,43.897999,43.952,43.952,30910500,1,44.728001
657,6/26/19,44.062,45.445999,43.619999,43.854,43.854,42536000,2,43.952
658,6/27/19,43.889999,44.580002,43.470001,44.568001,44.568001,31698500,3,43.854
659,6/28/19,44.198002,45.034,44.16,44.692001,44.692001,34257000,4,44.568001
660,7/1/19,46.042,46.619999,45.256001,45.433998,45.433998,41067000,0,44.692001
661,7/2/19,45.778,45.830002,44.444,44.91,44.91,46295000,1,45.433998
